CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Imovel;Setor_Atuacao;Percentual_Receita_Imovel;Percentual_Receitas_FII
00.868.235/0001-08;2026-03-31;1;Hotel;Serviço;1;0
00.868.235/0001-08;2026-03-31;1;Medcenter;Serviço;0.897705;0.884577
00.868.235/0001-08;2026-03-31;1;Medcenter;Comércio;0.102295;0.100799
01.201.140/0001-90;2026-03-31;1;Grand Plaza Shopping;Comércio;0.691915;0.677664
01.201.140/0001-90;2026-03-31;1;Grand Plaza Shopping;Serviço;0.308085;0.30174
08.417.532/0001-30;2026-03-31;1;Posto de Combustível;Petroquímica;1;0.032302
08.417.532/0001-30;2026-03-31;1;Posto de Combustível;Petroquímica;1;0.003176
08.417.532/0001-30;2026-03-31;1;Posto de Combustível;Petroquímica;1;0.007746
08.417.532/0001-30;2026-03-31;1;Posto de Combustível;Petroquímica;1;0.009296
08.417.532/0001-30;2026-03-31;1;Posto de Combustível;Petroquímica;1;0.03664
08.417.532/0001-30;2026-03-31;1;Base de distribuição;Petroquímica;1;0.233663
08.417.532/0001-30;2026-03-31;1;Base de distribuição;Petroquímica;1;0.073823
08.417.532/0001-30;2026-03-31;1;Base de distribuição;Petroquímica;1;0.36648
08.417.532/0001-30;2026-03-31;1;Posto de Combustível;Petroquímica;1;0.032436
40.346.049/0001-15;2026-03-31;1;Imóvel - Cabreuva - SP;logistica;0.999999;0.999999
